Código del bien o servicio;Descripción del bien o servicio;Impuesto
0134201001500;"Pera ""Carmen"", fresca o refrigerada";13%
0134201001600;"Pera ""coscia"", fresca o refrigerada";13%
0134201001700;"Pera ""flamingo"", fresca o refrigerada";13%
0134201001800;"Pera ""candy"", fresca o refrigerada";13%
0134201001900;Pera híbrida, fresca o refrigerada;13%
0134201009900;Pera, fresca o refrigerada, n.c.p.;13%
0134202000000;Membrillo, fresco o refrigerado;13%
0134300000000;Albaricoques (damascos, chabacanos), frescos o refrigerados;13%
0134400000100;Guinda (cereza ácida), fresca o refrigerada;13%
0134400009900;Cereza, fresca o refrigerada, n.c.p.;13%
0134501000100;Melocotón, fresco o refrigerado;13%
0134501000200;Durazno, fresco o refrigerado;13%
0134502000000;Nectarina, fresca o refrigerada;13%
0134600000100;Ciruela negra, fresca o refrigerada;13%
0134600000200;Ciruela roja, fresca o refrigerada;13%
0134600000300;Ciruela amarilla, fresca o refrigerada;13%
0134600000400;Ciruela Costa Rica, fresca o refrigerada;13%
0134600009900;Ciruela, fresca o refrigerada, n.c.p.;13%
0134900000000;Frutas de pepita y frutas de hueso, n.c.p.;13%
0135100000000;Grosellas y uvas de Corinto, frescas o refrigeradas;13%
0135200000000;Kiwis, frescos o refrigerados;13%
0135301010000;Mulberry orgánica, fresca o refrigerada;13%
0135301020000;Mulberry, fresca o refrigerada;13%
0135302010000;Frambuesa orgánica, fresca o refrigerada;13%
0135302020000;Frambuesa, fresca o refrigerada;13%
0135303010000;Mora orgánica, fresca o refrigerada (blackberry, boysenberry, jostaberry, loganberry, marionberry, nectarberry, tayberry, youngberry);1%
0135303020000;Mora, fresca o refrigerada (blackberry, boysenberry, jostaberry, loganberry, marionberry, nectarberry, tayberry, youngberry);1%
0135400010000;Fresa orgánica, fresca o refrigerada;13%
0135400020000;Fresa, fresca o refrigerada;13%
0135501000100;Arándano (bilberry), fresco o refrigerado;13%
0135501000200;Arándano azul (blueberry), fresco o refrigerado;13%
0135501000300;Arándano rojo (cranberry), fresco o refrigerado;13%
0135501000400;Arándano (huckleberry), fresco o refrigerado;13%
0135501000500;Arándano (lingonberry), fresco o refrigerado;13%
0135501009900;Arándano, fresco o refrigerado, n.c.p.;13%
0135502000000;Hierba mora, fresca o refrigerada;13%
0135503000000;Saskatoon berry, fresco o refrigerado;13%
0135504000000;Mirto, fresco o refrigerado;13%
0135599000000;Bayas y frutos del género Vaccinium, frescas o refrigeradas, n.c.p.;13%
0135600000100;Semillas de algarroba;13%
0135600000200;Algarroba, fresca o refrigerada;13%
0135901000000;Acai, fresco o refrigerado;13%
0135902000000;Ackee (akee), fresco o refrigerado;13%
0135903000000;Anona, fresca o refrigerada;13%
0135904000000;Arazá, fresca o refrigerada;13%
0135905000000;Aronia (chokeberry), fresca o refrigerada;13%
0135906000000;Caqui (persimmon) orgánico, fresco o refrigerado;13%
0135907000000;Carambola, fresca o refrigerada;1%
0135908000000;Cas, fresco o refrigerado;1%
0135909000000;Copoazú (cacao blanco), fresco o refrigerado;13%
0135910000000;Chira de banano, fresca o refrigerada;13%
0135911000000;Flor de Jamaica, fresca o refrigerada;13%
0135912000100;Granada real, fresca o refrigerada;13%
0135912000200;Arilos de granada real, frescos o refrigerados;13%
0135913000000;Granadilla, fresca o refrigerada;13%
0135914000000;Guaba, fresca o refrigerada;1%
0135915000000;Guanábana, fresca o refrigerada;1%
0135916000000;Jocote, fresco o refrigerado;1%
0135917000100;Mamón chino, fresco o refrigerado;1%
0135917000200;Mamón criollo, fresco o refrigerado;1%
0135918000000;Manzana de agua (pomarrosa), fresca o refrigerada;1%
0135919000000;Caimito (star apple), fresco o refrigerado;13%
0135920000000;Manzana rosa, fresca o refrigerada;1%
0135921000000;Maracuyá, fresca o refrigerada;1%
0135922000000;Marañón, fresco o refrigerado;1%
0135923000000;Monstera (cerimán), fresca o refrigerada;13%
0135924000000;Nance, fresco o refrigerado;1%
0135925000000;Naranjilla, fresca o refrigerada;13%
0135926000000;Níspero, fresco o refrigerado;13%
0135927000000;Tamarindo, fresco o refrigerado;1%
0135928000000;Tuna (nopal), fresca o refrigerada;13%
0135929000000;Pejibaye, fresco o refrigerado;1%
0135930000000;Pipa, fresca o refrigerada;1%
0135931000100;Pitahaya amarilla, fresca o refrigerada;13%
0135931000200;Pitahaya rosada, fresca o refrigerada;13%
0135931000300;Pitahaya roja, fresca o refrigerada;13%
0135931009900;Pitahaya, fresca o refrigerada, n.c.p. (incluye sin cáscara);13%
0135932000000;Rambután, fresco o refrigerado;13%
0135933000000;Rosa mosqueta (escaramujo), fresca o refrigerada;13%
0135934000000;Ruibarbo, fresco o refrigerado;13%
0135935000000;Uchuva, fresca o refrigerada;13%
0135936000000;Yuplón, fresco o refrigerado;1%
0135937000000;Zapote (mamey), fresco o refrigerado;13%
0135998000100;Mezcla de bayas o frutos silvestres, frescas o refrigeradas;13%
0135998000200;Mezcla de frutas tropicales, frescas o refrigeradas;13%
0135998009900;Mezcla de otras frutas, frescas o refrigeradas;13%
0135999000000;Frutas, frescas o refrigeradas, n.c.p.;13%
0136000000100;Semillas de sandía;13%
0136000000200;Semillas de melón;13%
0136000000300;Semillas de manzana;13%
0136000000400;Semillas de papaya;13%
0136000000500;Semillas de piña;13%
0136000000600;Semillas de mango;13%
0136000000700;Semillas de uva;13%
0136000000800;Semillas de naranja;13%
0136000009900;Semillas de otras frutas, n.c.p.;13%
0137100010000;Almendras, con cáscara, frescas;13%
0137100020000;Almendras, con cáscara, secas;13%
0137200010000;Semillas de marañón, con cáscara, frescas;13%
0137200020000;Semillas de marañón, con cáscara, secas;13%
0137300010000;Castañas, con cáscara, frescas;13%
0137300020000;Castañas, con cáscara, secas;13%
0137400010000;Avellanas, con cáscara, frescas;13%
0137400020000;Avellanas, con cáscara, secas;13%
0137500010000;Pistachos, con cáscara, frescos;13%
0137500020000;Pistachos, con cáscara, secos;13%
0137600010000;Nueces de nogal, con cáscara, frescas;13%
0137600020000;Nueces de nogal, con cáscara, secas;13%
0137700010000;Nueces del Brasil, con cáscara, frescas;13%
0137700020000;Nueces del Brasil, con cáscara, secas;13%
0137901010000;Macadamia orgánica, con cáscara, fresca;13%
0137901020000;Macadamia, con cáscara, fresca;13%
0137901030000;Macadamia, con cáscara, seca;13%
0137902000000;Nueces de cola, con cáscara, frescas;13%
0137903000000;Nueces de areca, con cáscara, frescas;13%
0137999000000;Frutos de cáscara (excepto las nueces silvestres comestibles y maní), con cáscara n.c.p.;13%
0141100000000;Frijol de soya, semillas para la siembra;13%
0141200000100;Frijol de soya, para producción de alimento para animales ;1%
0141200009900;Frijol de soya, n.c.p.;1%
0142100000000;Maní, semillas para la siembra;13%
0142200000000;Maní con cáscara, fresco o refrigerado;13%
0143100000000;Semilla de algodón, para la siembra;13%
0143200000000;Semilla de algodón, excepto para la siembra;13%
0144100000100;Semillas de linaza, para la siembra;13%
0144100009900;Semillas de linaza, n.c.p.;13%
0144200000100;Semillas de mostaza, para la siembra;13%
0144200009900;Semillas de mostaza, n.c.p.;13%
0144300000100;Semillas de colza (nabo), para la siembra;13%
0144300009900;Semillas de colza (nabo), n.c.p.;13%
0144400010100;Semillas de ajonjolí (sésamo), con cáscara, para la siembra;13%
0144400019900;Semillas de ajonjolí (sésamo), sin cáscara, para la siembra;13%
0144400020100;Semillas de ajonjolí, con cáscara, n.c.p.;13%
0144400029900;Semillas de ajonjolí, sin cáscara, n.c.p.;13%
0144500000100;Semillas de girasol, para siembra;13%
0144500009900;Semillas de girasol, n.c.p.;13%
0144600000100;Semillas de cártamo, para siembra;13%
0144600009900;Semillas de cártamo, n.c.p.;13%
0144700000100;Semillas de ricino, para siembra;13%
0144700009900;Semillas de ricino, n.c.p.;13%
0144800000100;Semillas de amapola, para siembra;13%
0144800009900;Semillas de amapola, n.c.p.;13%
0144900000100;Semillas de frutos oleaginosos, para la siembra, n.c.p.;13%
0144900009900;Semillas de frutos oleaginosos, n.c.p.;13%
0145000000000;Aceitunas, frescas o refrigeradas;13%
0146000000000;Coco, con cáscara, fresco o refrigerado;1%
0149101000100;Almendra de palma aceitera, para la siembra;1%
0149101000200;Almendra de palma aceitera, para la producción de alimento para animales;1%
0149101009900;Almendra de palma aceitera, n.c.p.;1%
0149199000100;Nueces y semillas de palma (excepto almendras), para la siembra;13%
0149199009900;Nueces y semillas de palma (excepto almendras), n.c.p.;13%
0149200000000;Coco seco (copra);13%
0149901000100;Fruta de palma aceitera, para producción de alimento para animales ;1%
0149901009900;Fruta de palma aceitera, n.c.p.;1%
0149999000000;Frutos oleaginosos, n.c.p.;13%
0151001000000;Papa para la siembra;13%
0151002010100;Papa orgánica excepto mini, fresca o refrigerada;1%
0151002010200;Papa mini orgánica, fresca o refrigerada;13%
0151002020100;Papa blanca, fresca o refrigerada;1%
0151002020200;Papa roja, fresca o refrigerada;1%
0151002020300;Papa morada, fresca o refrigerada;1%
0151002020400;Papa amarilla, fresca o refrigerada;1%
0151002020500;Papa especial, fresca o refrigerada;1%
0151002020600;Papa criolla, fresca o refrigerada;1%
0151002020700;Papa mini, fresca o refrigerada;13%
0151002020800;Papa semillón, fresca o refrigerada;1%
0151002020900;Papa híbrida, fresca o refrigerada;1%
0151002029900;Papa, fresca o refrigerada, n.c.p.;1%
0152000010000;Yuca (mandioca), fresca o refrigerada;1%
0152000020000;Yuca (mandioca), congelada;1%
0152000030000;Yuca (mandioca), seca o deshidratada;13%
0153001010000;Camote (papa dulce) morado, fresco o refrigerado;1%
0153001020000;Camote (papa dulce) morado, congelado;1%
0153099010000;Camote (papa dulce), fresco o refrigerado, n.c.p.;1%
0153099020000;Camote (papa dulce), congelado, n.c.p.;1%
0154001010000;Ñame (dioscorea alata), fresco o refrigerado;1%
0154001020000;Ñame (dioscorea alata), congelado;1%
0154002010000;Yampí (dioscorea trifida), fresco o refrigerado;13%
0154002020000;Yampí (dioscorea trifida), congelado;13%
0154099010000;Ñame, fresco o refrigerado, n.c.p.;1%
0154099020000;Ñame, congelado, n.c.p.;1%
0155001010000;Ñampí (colocasia  esculenta), fresco o refrigerado;1%
0155001020000;Ñampí (colocasia  esculenta), congelado;1%
0155002010000;Eddoe (colocasia antiquorum), fresco o refrigerado, n.c.p.;13%
0155002020000;Eddoe (colocasia antiquorum), congelado, n.c.p.;13%
0155099010000;Taros, frescos o refrigerados, n.c.p.;13%
0155099020000;Taros, congelados, n.c.p.;13%
0159101010000;Malanga, fresca o refrigerada;1%
0159101020000;Malanga, congelada;1%
0159102010000;Tiquizque, fresco o refrigerado;1%
0159102020000;Tiquizque, congelado;1%
0159901010000;Arracache, fresco o refrigerado;13%
0159901020000;Arracache, congelado;13%
0159902010000;Arrurruz, fresco o refrigerado;13%
0159902020000;Arrurruz, congelado;13%
0159903010000;Maca-maca, fresca o refrigerada;13%
0159903020000;Maca-maca, congelada;13%
0159904010000;Oca (apiña), fresca o refrigerada;13%
0159904020000;Oca (apiña), congelada;13%
0161001010000;Café cereza, orgánico;1%
0161001020000;Café cereza, n.c.p.;1%
0161099010000;Café verde, orgánico, n.c.p.;1%
0161099020000;Café verde, n.c.p.;1%
0162000000100;Hojas de té verde;13%
0162000000200;Hojas de té negro;13%
0162000009900;Hojas de té, n.c.p.;13%
0163000000000;Hojas de mate, sin triturar ni pulverizar;13%
0164000000100;Cacao, para la siembra;13%
0164000009900;Cacao, n.c.p.;13%
0165100000100;Pimienta negra, en bruto;13%
0165100009900;Pimienta en bruto, n.c.p.;13%
0165200000100;Chile ají, seco, sin triturar ni pulverizar;13%
0165200000200;Chile de árbol, seco, en bruto;13%
0165200000300;Chile amarillo, seco, en bruto;13%
0165200000400;Chile picante, seco, en bruto;13%
0165200000500;Chile habanero, seco, en bruto;13%
0165200000600;Chile jalapeño, seco, en bruto;13%
0165200000700;Chile tabasco, seco, en bruto;13%
0165200000800;Chile panameño, seco, en bruto;13%
0165200000900;"Chile ""naga jolokia"", seco, en bruto";13%
0165200001000;Chile escorpión, seco, en bruto;13%
0165200001100;Chile paprika, seco, en bruto;13%
0165200001200;Chile dulce, seco, en bruto;13%
0165200009900;Chiles y pimientos secos, en bruto, n.c.p.;13%
0165301000100;Nuez moscada, en bruto para siembra;13%
0165301009900;Nuez moscada, en bruto, n.c.p.;13%
0165302000000;Macis, en bruto;13%
0165303000100;Amomos, en bruto para siembra;13%
0165303009900;Amomos, en bruto, n.c.p.;13%
0165304000100;Cardamomos, en bruto para siembra;13%
0165304009900;Cardamomos, en bruto, n.c.p.;13%
0165401000100;Semillas de culantro, en bruto para la siembra;13%
0165401009900;Semillas de culantro, en bruto, n.c.p.;13%
0165402000100;Semillas de comino, en bruto para la siembra;13%
0165402009900;Semillas de comino, en bruto, n.c.p.;13%
0165403000100;Semillas de anís o de badiana, en bruto para la siembra;13%
0165403009900;Semillas de anís o de badiana, en bruto, n.c.p.;13%
0165404000100;Semillas de alcaravea, en bruto para la siembra;13%
0165404009900;Semillas de alcaravea, en bruto, n.c.p.;13%
0165405000100;Semillas de hinojo (bayas de enebro), en bruto para la siembra;13%
0165405009900;Semillas de hinojo (bayas de enebro), en bruto, n.c.p.;13%
0165500000100;Canela, en bruto;13%
0165500000200;Flores de canelero, en bruto;13%
0165600000000;Clavo de olor (tallos enteros), en bruto;13%
0165700000100;Jengibre (ginger) en crudo, fresco o refrigerado;13%
0165700000200;Jengibre (ginger) en crudo, seco;13%
0165800000000;Vainilla, en bruto;13%
0165900000100;Cono de lúpulo en bruto, fresco o refrigerado;13%
0165900000200;"Cono de lúpulo seco, triturado, molido o en ""pellets"" (lupulino)";13%
0169100000000;Raíces de achicoria;13%
0169901010000;Azafrán orgánico, fresco o refrigerado;13%
0169901020000;Azafrán, fresco o refrigerado;13%
0169902010000;Orégano orgánico, fresco o refrigerado;13%
0169902020000;Orégano, fresco o refrigerado;13%
0169903010000;Romero orgánico, fresco o refrigerado;13%
0169903020000;Romero, fresco o refrigerado;13%
0169904010000;Cúrcuma orgánica, fresca o refrigerada;13%
0169904020000;Cúrcuma , fresca o refrigerada;13%
0169905010000;Hoja de curry orgánica, fresca o refrigerada;13%
0169905020000;Hoja de curry, fresca o refrigerada;13%
0169906010000;Eneldo orgánico, fresco o refrigerado;13%
0169906020000;Eneldo, fresco o refrigerado;13%
0169907010000;Hojas de laurel orgánico, fresco o refrigerado;13%
0169907020000;Hojas de laurel, fresco o refrigerado;13%
0169908010000;Tomillo orgánico, fresco o refrigerado;13%
0169908020000;Tomillo, fresco o refrigerado;13%
0169999010000;Estimulantes, especias y plantas aromáticas, orgánicas, n.c.p.;13%
0169999990000;Estimulantes, especias y plantas aromáticas, n.c.p.;13%
0170101000000;Frijol semilla;13%
0170102000100;"Frijoles ""adzuki"" (rojos pequeños), secos";13%
0170102000200;Frijoles cubaces, secos;1%
0170102000300;Frijoles blancos, secos;1%
0170102000400;Frijoles negros, secos;1%
0170102000500;Frijoles rojos, secos;1%
0170102009900;Frijoles, secos, n.c.p.;13%
0170200000000;Habas, secas;13%
0170300000000;Garbanzos, secos;1%
0170400000000;Lentejas, secas;13%
0170501000100;"Arvejas (guisantes) ""blackeye"", secas, para siembra";13%
0170501000200;"Arvejas (guisantes) ""pigeon"", secas, para siembra";13%
0170501000300;Arvejas (guisantes), secas, para siembra, n.c.p.;13%
0170502000100;"Arvejas (guisantes) ""blackeye"", secas";13%
0170502000200;"Arvejas (guisantes) ""pigeon"", secas";13%
0170502000300;Arvejas (guisantes), secas, n.c.p.;13%
0170600000000;Frijol Castilla (caupí), seco;13%
0170700000000;Frijol de palo (gandul), seco;13%
0170800000000;Frijol Bambara, seco;13%
0170900000000;Legumbres (leguminosas), secas, n.c.p.;13%
0180100000000;Remolacha azucarera, fresca o refrigerada;13%
0180201010000;Caña de azúcar orgánica, fresca o refrigerada;1%
0180201020000;Caña de azúcar, fresca o refrigerada (excepto orgánica);1%
0180202010000;Caña de azúcar orgánica, congelada;1%
0180202020000;Caña de azúcar, congelada (excepto orgánica);1%
0180300000000;Semillas de remolacha azucarera;13%
0180900000000;Cultivo de plantas utilizadas para la elaboración de azúcar (excepto caña y remolacha);13%
0191100000000;Maíz para forraje y ensilaje;1%
0191200000000;Alfalfa para forraje y ensilaje;13%
0191300000100;Paja de cereales y cáscaras, en bruto;13%
0191300000200;"Paja de cereales y cáscaras, picados, molidos, prensados o en ""pellets""";13%
0191900000100;Pacas de heno, para alimentación animal;13%
0191900009900;Productos forrajeros, n.c.p.;13%
0192100000000;Algodón, incluso desmotado;13%
0192201000000;Fibras de yute, en bruto o enriado;13%
0192202000000;Fibras de kenaf, en bruto o enriado;13%
0192299000000;Fibras textiles n.c.p, en bruto o enriadas;13%
0192901000000;Fibras de lino, en bruto;13%
0192902000000;Fibras de cáñamo, en bruto;13%
0192903000000;Fibras de cabuya y henequén, en bruto;13%
0192904000000;Fibras de coco, en bruto;13%
0192905000000;Fibras de abacá, en bruto;13%
0192999000000;Fibras n.c.p., en bruto;13%
0193001010000;Ginseng, fresco o refrigerado;13%
0193001020000;Ginseng, congelado;13%
